Dispatching_base_num,Pickup_date,locationID
B00001,2015-05-01 04:30:00,
B00001,2015-05-01 05:00:00,
B00001,2015-05-01 05:05:00,
B00001,2015-05-01 06:15:00,
B00001,2015-05-01 06:15:00,
B00001,2015-05-01 06:30:00,
B00001,2015-05-01 06:30:00,
B00001,2015-05-01 06:30:00,
B00001,2015-05-01 06:45:00,
B00001,2015-05-01 06:45:00,
B00001,2015-05-01 07:00:00,
B00001,2015-05-01 07:45:00,
B00001,2015-05-01 08:00:00,
B00001,2015-05-01 08:00:00,
B00001,2015-05-01 08:15:00,
B00001,2015-05-01 08:25:00,
B00001,2015-05-01 08:30:00,
B00001,2015-05-01 08:40:00,
B00001,2015-05-01 08:55:00,
B00001,2015-05-01 09:00:00,
B00001,2015-05-01 09:15:00,
B00001,2015-05-01 09:15:00,
B00001,2015-05-01 09:15:00,
B00001,2015-05-01 09:15:00,
B00001,2015-05-01 09:15:00,
B00001,2015-05-01 09:30:00,
B00001,2015-05-01 09:30:00,
B00001,2015-05-01 09:30:00,
B00001,2015-05-01 10:11:00,
B00001,2015-05-01 10:15:00,
B00001,2015-05-01 10:21:00,
B00001,2015-05-01 10:30:00,
B00001,2015-05-01 10:30:00,
B00001,2015-05-01 11:3
