Dispatching_base_num,Pickup_DateTime,DropOff_datetime,PUlocationID,DOlocationID
B00008,2017-03-01 00:30:00,,,
B00008,2017-03-01 00:30:00,,,
B00009,2017-03-01 00:50:00,,,
B00013,2017-03-01 00:04:00,,,
B00013,2017-03-01 00:50:00,,,
B00013,2017-03-01 00:35:00,,,
B00013,2017-03-01 00:58:00,,,
B00013,2017-03-01 00:40:00,,,
B00013,2017-03-01 00:00:00,,,
B00013,2017-03-01 00:51:00,,,
B00014,2017-03-01 00:00:00,,,
B00014,2017-03-01 00:37:00,,,
B00014,2017-03-01 00:51:00,,,
B00014,2017-03-01 00:16:00,,,
B00014,2017-03-01 00:00:00,,,
B00014,2017-03-01 00:00:00,,,
B00014,2017-03-01 00:00:00,,,
B00014,2017-03-01 00:46:00,,,
B00014,2017-03-01 00:00:00,,,
B00014,2017-03-01 00:00:00,,,
B00014,2017-03-01 00:44:00,,,
B00014,2017-03-01 00:57:00,,,
B00014,2017-03-01 00:47:00,,,
B00014,2017-03-01 00:16:00,,,
B00014,2017-03-01 00:11:00,,,
B00014,2017-03-01 00:57:00,,,
B00014,2017-03-01 00:00:00,,,
B00021,2017-03-01 00:15:00,,82,
B00029,2017-03-01 00:26:00,,81,0
B00029,2017-03-01 00:12:00,,254,0
B000
